UPS Next Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 102 , Zone 103 , Zone 104 , Zone 105 , Zone 106 , Zone 107 , Zone 108 , Zone 124 , Zone 125 , Zone 126

Letter,$13.40 ,$15.50 ,$16.80 ,$17.60 ,$18.40 ,$19.30 ,$19.80 ,$20.20 ,$20.20 ,$27.00 
139,$176.60 ,$240.50 ,$347.50 ,$375.30 ,$405.90 ,$424.00 ,$437.90 ,$444.80 ,$444.80 ,$458.70 
140,$177.80 ,$242.20 ,$350.00 ,$378.00 ,$408.80 ,$427.00 ,$441.00 ,$448.00 ,$448.00 ,$462.00 
141,$179.10 ,$244.00 ,$352.50 ,$380.70 ,$411.80 ,$430.10 ,$444.20 ,$451.20 ,$451.20 ,$465.30 
142,$180.40 ,$245.70 ,$355.00 ,$383.40 ,$414.70 ,$433.10 ,$447.30 ,$454.40 ,$454.40 ,$468.60 
143,$181.70 ,$247.40 ,$357.50 ,$386.10 ,$417.60 ,$436.20 ,$450.50 ,$457.60 ,$457.60 ,$471.90 
144,$182.90 ,$249.20 ,$360.00 ,$388.80 ,$420.50 ,$439.20 ,$453.60 ,$460.80 ,$460.80 ,$475.20 
145,$184.20 ,$250.90 ,$362.50 ,$391.50 ,$423.40 ,$442.30 ,$456.80 ,$464.00 ,$464.00 ,$478.50 
146,$185.50 ,$252.60 ,$365.00 ,$394.20 ,$426.40 ,$445.30 ,$459.90 ,$467.20 ,$467.20 ,$481.80 
147,$186.70 ,$254.40 ,$367.50 ,$396.90 ,$429.30 ,$448.40 ,$463.10 ,$470.40 ,$470.40 ,$485.10 
148,$188.00 ,$256.10 ,$370.00 ,$399.60 ,$432.20 ,$451.40 ,$466.20 ,$473.60 ,$473.60 ,$488.40 
149,$189.30 ,$257.80 ,$372.50 ,$402.30 ,$435.10 ,$454.50 ,$469.40 ,$476.80 ,$476.80 ,$491.70 
150,$190.50 ,$259.50 ,$375.00 ,$405.00 ,$438.00 ,$457.50 ,$472.50 ,$480.00 ,$480.00 ,$495.00 
Multiplier,$1.28 ,$1.74 ,$2.51 ,$2.71 ,$2.93 ,$3.06 ,$3.16 ,$3.21 ,$3.21 ,$3.31 
