Hawaii -- 48 State Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
127,$85.04 ,$86.89 ,$89.75 ,$91.31 ,$92.94 ,$94.61 ,$98.03 ,$157.54 ,$166.25 ,$157.36 
128,$85.59 ,$87.42 ,$90.29 ,$91.81 ,$93.43 ,$95.10 ,$98.57 ,$158.85 ,$167.52 ,$158.67 
129,$86.14 ,$87.97 ,$90.83 ,$92.24 ,$93.97 ,$95.64 ,$99.05 ,$160.07 ,$168.71 ,$159.90 
130,$86.67 ,$88.50 ,$91.37 ,$92.72 ,$94.51 ,$96.13 ,$99.58 ,$161.21 ,$169.89 ,$161.04 
131,$87.22 ,$89.05 ,$91.91 ,$93.21 ,$95.05 ,$96.62 ,$100.13 ,$162.44 ,$171.17 ,$162.17 
132,$87.75 ,$89.58 ,$92.45 ,$93.64 ,$95.59 ,$97.16 ,$100.66 ,$163.75 ,$172.44 ,$163.57 
133,$88.30 ,$90.13 ,$92.99 ,$94.13 ,$96.13 ,$97.65 ,$101.16 ,$164.88 ,$173.71 ,$164.71 
134,$88.83 ,$90.67 ,$93.53 ,$94.61 ,$96.67 ,$98.13 ,$101.69 ,$166.28 ,$175.06 ,$166.11 
135,$89.38 ,$91.21 ,$94.07 ,$95.10 ,$97.21 ,$98.62 ,$102.24 ,$167.60 ,$176.50 ,$167.51 
136,$89.91 ,$91.75 ,$94.61 ,$95.59 ,$97.75 ,$99.16 ,$102.72 ,$168.82 ,$177.86 ,$168.82 
137,$90.46 ,$92.29 ,$95.15 ,$96.13 ,$98.29 ,$99.65 ,$103.27 ,$169.96 ,$179.13 ,$169.87 
138,$91.00 ,$92.83 ,$95.69 ,$96.67 ,$98.83 ,$100.19 ,$103.80 ,$171.09 ,$180.23 ,$171.01 
139,$91.54 ,$93.37 ,$96.24 ,$97.16 ,$99.38 ,$100.73 ,$104.35 ,$172.32 ,$181.42 ,$172.23 
140,$92.08 ,$93.91 ,$96.78 ,$97.70 ,$99.91 ,$101.27 ,$104.88 ,$173.63 ,$182.69 ,$173.54 
141,$92.62 ,$94.45 ,$97.32 ,$98.24 ,$100.46 ,$101.82 ,$105.38 ,$174.86 ,$184.05 ,$174.94 
142,$93.16 ,$94.99 ,$97.86 ,$98.73 ,$100.99 ,$102.35 ,$105.91 ,$175.99 ,$185.23 ,$176.08 
143,$93.70 ,$95.54 ,$98.40 ,$99.21 ,$101.54 ,$102.90 ,$106.46 ,$177.13 ,$186.42 ,$177.13 
144,$94.24 ,$96.08 ,$98.94 ,$99.70 ,$102.07 ,$103.48 ,$106.99 ,$178.35 ,$187.61 ,$178.35 
145,$94.78 ,$96.62 ,$99.48 ,$100.19 ,$102.62 ,$104.03 ,$107.49 ,$179.49 ,$188.71 ,$179.49 
146,$95.32 ,$97.16 ,$100.02 ,$100.66 ,$103.15 ,$104.63 ,$108.02 ,$180.89 ,$190.06 ,$180.89 
147,$95.86 ,$97.70 ,$100.56 ,$101.16 ,$103.70 ,$105.16 ,$108.57 ,$182.03 ,$191.25 ,$182.12 
148,$96.40 ,$98.24 ,$101.11 ,$101.64 ,$104.25 ,$105.71 ,$109.10 ,$183.34 ,$192.61 ,$183.43 
149,$96.95 ,$98.78 ,$101.64 ,$102.13 ,$104.78 ,$106.29 ,$109.65 ,$184.74 ,$193.88 ,$184.83 
150,$97.49 ,$99.32 ,$102.19 ,$102.62 ,$105.33 ,$106.84 ,$110.19 ,$186.05 ,$195.15 ,$186.14 
