UPS 2nd Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 202 , Zone 203 , Zone 204 , Zone 205 , Zone 206 , Zone 207 , Zone 208 , Zone 224 , Zone 225 , Zone 226

Letter,$7.50 ,$8.00 ,$8.40 ,$9.10 ,$9.80 ,$10.20 ,$10.60 ,$14.60 ,$14.60 ,$20.20 
96,$63.40 ,$74.80 ,$94.40 ,$132.50 ,$190.10 ,$203.60 ,$212.20 ,$214.10 ,$214.10 ,$218.80 
97,$64.00 ,$75.60 ,$95.20 ,$133.90 ,$192.10 ,$205.60 ,$214.40 ,$216.40 ,$216.40 ,$221.00 
98,$64.70 ,$76.20 ,$96.10 ,$135.30 ,$194.10 ,$207.70 ,$216.60 ,$218.60 ,$218.60 ,$223.20 
99,$65.40 ,$76.90 ,$97.00 ,$136.60 ,$196.00 ,$209.90 ,$218.80 ,$220.80 ,$220.80 ,$225.30 
100,$66.10 ,$77.60 ,$97.90 ,$138.00 ,$198.00 ,$212.00 ,$221.00 ,$223.00 ,$223.00 ,$227.20 
101,$66.80 ,$78.30 ,$98.90 ,$139.40 ,$200.00 ,$214.10 ,$223.20 ,$225.30 ,$225.30 ,$229.10 
102,$67.50 ,$79.10 ,$99.90 ,$140.80 ,$202.00 ,$216.30 ,$225.40 ,$227.50 ,$227.50 ,$231.00 
103,$68.20 ,$79.90 ,$101.00 ,$142.20 ,$204.00 ,$218.40 ,$227.70 ,$229.70 ,$229.70 ,$232.90 
104,$68.90 ,$80.70 ,$101.90 ,$143.50 ,$205.90 ,$220.50 ,$229.90 ,$232.00 ,$232.00 ,$234.80 
105,$69.50 ,$81.40 ,$102.90 ,$144.90 ,$207.90 ,$222.60 ,$232.10 ,$234.20 ,$234.20 ,$236.80 
106,$70.30 ,$82.20 ,$103.90 ,$146.30 ,$209.90 ,$224.70 ,$234.30 ,$236.40 ,$236.40 ,$238.90 
107,$71.00 ,$82.90 ,$104.80 ,$147.70 ,$211.90 ,$226.90 ,$236.50 ,$238.70 ,$238.70 ,$241.00 
108,$71.60 ,$83.70 ,$105.80 ,$149.10 ,$213.90 ,$229.00 ,$238.70 ,$240.90 ,$240.90 ,$243.10 
109,$72.30 ,$84.50 ,$106.80 ,$150.40 ,$215.80 ,$231.10 ,$240.90 ,$243.10 ,$243.10 ,$245.30 
110,$72.90 ,$85.20 ,$107.90 ,$151.80 ,$217.80 ,$233.20 ,$243.10 ,$245.30 ,$245.30 ,$247.50 
111,$73.60 ,$86.10 ,$108.80 ,$153.20 ,$219.80 ,$235.30 ,$245.30 ,$247.60 ,$247.60 ,$249.80 
