UPS Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed, Zone 2 , Zone 3 , Zone 4 , Zone 5 , Zone 6 , Zone 7 , Zone 8,Zone 44,Zone 45,Zone 46
125,$56.98 ,$58.86 ,$59.60 ,$59.86 ,$63.58 ,$65.69 ,$68.61 ,$213.88 ,$213.88 ,$221.74 
126,$57.40 ,$59.28 ,$60.03 ,$60.27 ,$64.03 ,$66.16 ,$69.08 ,$215.62 ,$215.62 ,$223.49 
127,$57.81 ,$59.70 ,$60.45 ,$60.68 ,$64.48 ,$66.63 ,$69.55 ,$217.37 ,$217.37 ,$225.24 
128,$58.21 ,$60.12 ,$60.89 ,$61.09 ,$64.93 ,$67.10 ,$70.02 ,$219.12 ,$219.12 ,$226.98 
129,$58.62 ,$60.55 ,$61.32 ,$61.49 ,$65.37 ,$67.57 ,$70.49 ,$220.87 ,$220.87 ,$228.73 
130,$59.04 ,$60.96 ,$61.40 ,$61.90 ,$65.82 ,$68.04 ,$70.96 ,$222.62 ,$222.62 ,$230.48 
131,$59.45 ,$61.38 ,$61.43 ,$62.31 ,$66.27 ,$68.51 ,$71.42 ,$224.37 ,$224.37 ,$232.15 
132,$59.85 ,$61.81 ,$61.84 ,$62.72 ,$66.72 ,$68.98 ,$71.89 ,$226.12 ,$226.12 ,$233.81 
133,$60.27 ,$62.23 ,$62.27 ,$63.12 ,$67.17 ,$69.45 ,$72.36 ,$227.87 ,$227.87 ,$235.47 
134,$60.68 ,$62.64 ,$62.70 ,$63.52 ,$67.61 ,$69.92 ,$72.83 ,$229.62 ,$229.62 ,$237.13 
135,$61.09 ,$63.07 ,$63.13 ,$63.93 ,$68.06 ,$70.39 ,$73.30 ,$231.37 ,$231.37 ,$238.79 
136,$61.50 ,$63.49 ,$63.55 ,$64.34 ,$68.51 ,$70.85 ,$73.77 ,$233.12 ,$233.12 ,$240.45 
137,$61.91 ,$63.91 ,$63.98 ,$64.74 ,$68.96 ,$71.32 ,$74.25 ,$234.87 ,$234.87 ,$242.12 
138,$62.32 ,$64.33 ,$64.40 ,$65.15 ,$69.41 ,$71.79 ,$74.71 ,$236.62 ,$236.62 ,$243.78 
139,$62.74 ,$64.75 ,$64.83 ,$65.56 ,$69.86 ,$72.26 ,$75.18 ,$238.37 ,$238.37 ,$245.44 
140,$63.14 ,$65.17 ,$65.26 ,$65.96 ,$70.30 ,$72.73 ,$75.65 ,$240.03 ,$240.03 ,$247.10 
141,$63.55 ,$65.60 ,$65.68 ,$66.37 ,$70.75 ,$73.20 ,$76.12 ,$241.69 ,$241.69 ,$248.68 
142,$63.97 ,$66.01 ,$66.11 ,$66.78 ,$71.20 ,$73.67 ,$76.59 ,$243.36 ,$243.36 ,$250.25 
143,$64.37 ,$66.43 ,$66.54 ,$67.19 ,$71.65 ,$74.13 ,$77.06 ,$245.01 ,$245.01 ,$251.82 
144,$64.78 ,$66.86 ,$66.96 ,$67.59 ,$72.10 ,$74.60 ,$77.53 ,$246.68 ,$246.68 ,$253.49 
145,$65.19 ,$67.28 ,$67.38 ,$68.00 ,$72.54 ,$75.07 ,$77.99 ,$248.43 ,$248.43 ,$255.15 
146,$65.61 ,$67.69 ,$67.81 ,$68.40 ,$72.99 ,$75.54 ,$78.46 ,$250.18 ,$250.18 ,$256.81 
147,$66.01 ,$68.12 ,$68.24 ,$68.81 ,$73.44 ,$76.02 ,$78.93 ,$251.93 ,$251.93 ,$258.47 
148,$66.42 ,$68.54 ,$68.67 ,$69.21 ,$73.89 ,$76.49 ,$79.40 ,$253.68 ,$253.68 ,$260.13 
149,$66.84 ,$68.97 ,$69.10 ,$69.62 ,$74.34 ,$76.96 ,$79.87 ,$255.43 ,$255.43 ,$261.80 
150,$67.25 ,$69.39 ,$69.51 ,$70.03 ,$74.79 ,$77.42 ,$80.34 ,$257.18 ,$257.18 ,$263.46 
